,Total (ms),Asp (ms),MidDiff (dB),F0 (Hz),F1 (Hz),F2 (Hz),F3 (Hz)
pa,372,11,32,122,537,1080,2796
tha,360,22,21,124,462,1452,2764
ta,354,21,22,124,334,1523,2608
ka,361,29,7,125,448,1538,2478
ha,395,75,29,124,634,1130,2928
,,,,,,,
pi,384,22,28,127,281,2233,2639
thi,421,31,15,130,268,2283,2612
ti,385,16,21,131,301,2208,2599
ki,422,55,15,127,234,2426,2933
hi,441,53,31,131,202,2358,2699
,,,,,,,
pu,413,30,40,130,265,809,2577
thu,410,32,28,131,236,1531,2563
tu,427,16,22,134,270,1548,2503
ku,412,64,22,137,259,824,2530
hu,466,74,51,133,207,679,2586